municipality_code,municipality_name,prefecture,account_name,friends_count,population,registration_rate,population_category,line_url,updated_at
,七飯町,北海道,七飯町,4137.0,26624.0,15.54,町,https://page.line.me/nanaetown,2025-12-03
,鹿部町,北海道,北海道鹿部町,281.0,3410.0,8.24,町,https://page.line.me/shikabe_town,2025-12-03
,森町,北海道,北海道森町公式,3282.0,12735.0,25.77,町,https://page.line.me/hokkaido-mori,2025-12-03
,八雲町,北海道,八雲町,6566.0,14417.0,45.54,町,https://page.line.me/yakumo_town,2025-12-03
,江差町,北海道,江差町,4646.0,6489.0,71.6,町,https://page.line.me/esashi_town,2025-12-03
,上ノ国町,北海道,上ノ国町,1292.0,3693.0,34.99,町,https://page.line.me/kaminokuni,2025-12-03
,厚沢部町,北海道,厚沢部町,1221.0,3113.0,39.22,町,https://page.line.me/assabu,2025-12-03
,乙部町,北海道,乙部町,1788.0,2915.0,61.34,町,https://page.line.me/otobetown,2025-12-03
,奥尻町,北海道,奥尻町,1175.0,1993.0,58.96,町,https://page.line.me/okushiri,2025-12-03
,今金町,北海道,今金町,1841.0,4338.0,42.44,町,https://page.line.me/imakanetown,2025-12-03
,せたな町,北海道,せたな町,2105.0,6287.0,33.48,町,https://page.line.me/setana-town,2025-12-03
,黒松内町,北海道,黒松内町,773.0,2421.0,31.93,町,https://page.line.me/kuromatsunai_town,2025-12-03
,ニセコ町,北海道,ニセコ町,1721.0,5147.0,33.44,町,https://page.line.me/nisekochou,2025-12-03
,留寿都村,北海道,留寿都村,1011.0,1911.0,52.9,村,https://page.line.me/rusutsu.vill,2025-12-03
,倶知安町,北海道,倶知安町,2129.0,14276.0,14.91,町,https://page.line.me/kutchan,2025-12-03
,岩内町,北海道,北海道岩内町,2562.0,10268.0,24.95,町,https://page.line.me/iwanai-town,2025-12-03
,積丹町,北海道,積丹町,212.0,1521.0,13.94,町,https://page.line.me/shakotan,2025-12-03
,仁木町,北海道,北海道仁木町,272.0,3127.0,8.7,町,https://page.line.me/527dlhjj,2025-12-03
,余市町,北海道,北海道余市町,7198.0,16430.0,43.81,町,https://page.line.me/yoichi_town,2025-12-03
,南幌町,北海道,南幌巡り,2354.0,8002.0,29.42,町,https://page.line.me/745lvfkh,2025-12-03
,奈井江町,北海道,奈井江町,1520.0,4526.0,33.58,町,https://page.line.me/naie,2025-12-03
,上砂川町,北海道,上砂川町,1174.0,2305.0,50.93,町,https://page.line.me/kamisunagawa,2025-12-03
,長沼町,北海道,長沼町,1161.0,9568.0,12.13,町,https://page.line.me/naganumatown,2025-12-03
,月形町,北海道,北海道月形町,1181.0,3228.0,36.59,町,https://page.line.me/tsukigata_line,2025-12-03
,浦臼町,北海道,北海道浦臼町,262.0,1513.0,17.32,町,https://page.line.me/urausu,2025-12-03
,新十津川町,北海道,新十津川町,1525.0,6093.0,25.03,町,https://page.line.me/shintotsukawa1,2025-12-03
,秩父別町,北海道,秩父別町,1166.0,2099.0,55.55,町,https://page.line.me/chippu,2025-12-03
,沼田町,北海道,北海道沼田町,819.0,2638.0,31.05,町,https://page.line.me/numatalife,2025-12-03
,鷹栖町,北海道,鷹栖町,1543.0,6199.0,24.89,町,https://page.line.me/takasu_town,2025-12-03
,東神楽町,北海道,東神楽町,1202.0,9618.0,12.5,町,https://page.line.me/kagura014532,2025-12-03
,当麻町,北海道,当麻町,2633.0,5890.0,44.7,町,https://page.line.me/town-tohma,2025-12-03
,比布町,北海道,比布町（ぴっぷ町）,1166.0,3242.0,35.97,町,https://page.line.me/pippu_town,2025-12-03
,愛別町,北海道,愛別町,400.0,2272.0,17.61,町,https://page.line.me/aibetsutown,2025-12-03
,上川町,北海道,上川町,2665.0,3117.0,85.5,町,https://page.line.me/kamikawa_town,2025-12-03
,東川町,北海道,東川町,6723.0,8662.0,77.61,町,https://page.line.me/higashikawa,2025-12-03
,美瑛町,北海道,美瑛町役場,5347.0,9067.0,58.97,町,https://page.line.me/biei,2025-12-03
,上富良野町,北海道,上富良野町,1912.0,9331.0,20.49,町,https://page.line.me/kamifurano,2025-12-03
,中富良野町,北海道,中富良野町,1493.0,4268.0,34.98,町,https://page.line.me/nakafurano,2025-12-03
,南富良野町,北海道,南富良野町,572.0,2179.0,26.25,町,https://page.line.me/minamifurano-town,2025-12-03
,占冠村,北海道,占冠村,424.0,1398.0,30.33,村,https://page.line.me/shimukappu,2025-12-03
,和寒町,北海道,和寒町,751.0,2705.0,27.76,町,https://page.line.me/wassamu,2025-12-03
,剣淵町,北海道,剣淵町,740.0,2617.0,28.28,町,https://page.line.me/kembuchi-ehon,2025-12-03
,下川町,北海道,下川町,2349.0,2713.0,86.58,町,https://page.line.me/shimokawa-town,2025-12-03
,音威子府村,北海道,北海道音威子府村,485.0,603.0,80.43,村,https://page.line.me/otoineppu_1962,2025-12-03
,苫前町,北海道,苫前町,5498.0,2572.0,213.76,町,https://page.line.me/tomamae_town,2025-12-03
,羽幌町,北海道,北海道羽幌町,1601.0,5652.0,28.33,町,https://page.line.me/haboro,2025-12-03
,初山別村,北海道,初山別村,393.0,925.0,42.49,村,https://page.line.me/shosanbetsu,2025-12-03
,遠別町,北海道,遠別町,1101.0,2162.0,50.93,町,https://page.line.me/muo1003k,2025-12-03
,天塩町,北海道,天塩町,1306.0,2521.0,51.8,町,https://page.line.me/teshio,2025-12-03
,猿払村,北海道,猿払村,1038.0,2469.0,42.04,村,https://page.line.me/xat.0000170276.tn8,2025-12-03
,浜頓別町,北海道,浜頓別町,855.0,3150.0,27.14,町,https://page.line.me/line_hamaton,2025-12-03
,中頓別町,北海道,北海道中頓別町,387.0,1413.0,27.39,町,https://page.line.me/nakatombetsu,2025-12-03
,豊富町,北海道,北海道豊富町,2245.0,3598.0,62.4,町,https://page.line.me/town.toyotomi,2025-12-03
,礼文町,北海道,礼文町,787.0,2108.0,37.33,町,https://page.line.me/rebuncho,2025-12-03
,利尻富士町,北海道,利尻富士町,1809.0,1848.0,97.89,町,https://page.line.me/rishirifuji,2025-12-03
,美幌町,北海道,北海道美幌町,1694.0,16678.0,10.16,町,https://page.line.me/bihoro,2025-12-03
,津別町,北海道,津別町,788.0,3788.0,20.8,町,https://page.line.me/tsubetsu,2025-12-03
,斜里町,北海道,斜里町,4352.0,6104.0,71.3,町,https://page.line.me/shari,2025-12-03
,小清水町,北海道,小清水町,2914.0,3522.0,82.74,町,https://page.line.me/koshimizu-line,2025-12-03
,訓子府町,北海道,訓子府町,1113.0,4255.0,26.16,町,https://page.line.me/kunneppu,2025-12-03
,置戸町,北海道,置戸町,683.0,4275.0,15.98,町,https://page.line.me/oketo,2025-12-03
,遠軽町,北海道,遠軽町,4270.0,4458.0,95.78,町,https://page.line.me/engaru_town,2025-12-03
,湧別町,北海道,湧別町,1807.0,17021.0,10.62,町,https://page.line.me/yubetsu,2025-12-03
,滝上町,北海道,滝上町,1248.0,7626.0,16.37,町,https://page.line.me/takinoue_town,2025-12-03
,興部町,北海道,興部町,2267.0,2100.0,107.95,町,https://page.line.me/okoppe,2025-12-03
,西興部村,北海道,西興部村,369.0,3340.0,11.05,村,https://page.line.me/nishiokoppemura,2025-12-03
,雄武町,北海道,雄武町,768.0,921.0,83.39,町,https://page.line.me/oumu_town,2025-12-03
,大空町,北海道,大空町,1789.0,3832.0,46.69,町,https://page.line.me/ozora_town,2025-12-03
,豊浦町,北海道,豊浦町,1030.0,3427.0,30.06,町,https://page.line.me/toyoura_town,2025-12-03
,白老町,北海道,白老町,2528.0,2559.0,98.79,町,https://page.line.me/747lujzn,2025-12-03
,厚真町,北海道,厚真町,2597.0,14589.0,17.8,町,https://page.line.me/atsuma,2025-12-03
,洞爺湖町,北海道,洞爺湖町,1903.0,4218.0,45.12,町,https://page.line.me/toyako,2025-12-03
,安平町,北海道,安平町,2289.0,7014.0,32.63,町,https://page.line.me/abira,2025-12-03
,むかわ町,北海道,むかわ町,2588.0,7107.0,36.41,町,https://page.line.me/mukawa,2025-12-03
,日高町,北海道,北海道日高町,1477.0,10414.0,14.18,町,https://page.line.me/hidakatown,2025-12-03
,新冠町,北海道,新冠町,1506.0,4881.0,30.85,町,https://page.line.me/niikappu,2025-12-03
,浦河町,北海道,浦河町役場,2478.0,11130.0,22.26,町,https://page.line.me/urakawa_town,2025-12-03
,様似町,北海道,様似町,500.0,3612.0,13.84,町,https://page.line.me/samani.302,2025-12-03
,新ひだか町,北海道,北海道新ひだか町,2737.0,19448.0,14.07,町,https://page.line.me/shinhidakatown,2025-12-03
,音更町,北海道,北海道音更町,10094.0,41830.0,24.13,町,https://page.line.me/line_otofuke,2025-12-03
,士幌町,北海道,北海道士幌町,3040.0,5447.0,55.81,町,https://page.line.me/shihoro,2025-12-03
,上士幌町,北海道,上士幌町,1691.0,4491.0,37.65,町,https://page.line.me/kamishihoro,2025-12-03
,鹿追町,北海道,鹿追町,1203.0,4883.0,24.64,町,https://page.line.me/shikaoi-town,2025-12-03
,清水町,北海道,北海道清水町,2982.0,8409.0,35.46,町,https://page.line.me/shimizu_tokachi,2025-12-03
,芽室町,北海道,芽室町,7499.0,17307.0,43.33,町,https://page.line.me/memuro,2025-12-03
,中札内村,北海道,北海道中札内村,2518.0,3785.0,66.53,村,https://page.line.me/nakasatsunai,2025-12-03
,更別村,北海道,更別村,228.0,2969.0,7.68,村,https://page.line.me/sarabetsu_village,2025-12-03
,大樹町,北海道,北海道大樹町,708.0,5204.0,13.6,町,https://page.line.me/taiki,2025-12-03
,広尾町,北海道,広尾町,436.0,5565.0,7.83,町,https://page.line.me/hiroo_town,2025-12-03
,幕別町,北海道,幕別町,2577.0,24396.0,10.56,町,https://page.line.me/makubetsu,2025-12-03
,豊頃町,北海道,豊頃町,1359.0,2741.0,49.58,町,https://page.line.me/toyokoro_line,2025-12-03
,本別町,北海道,北海道本別町,1631.0,5766.0,28.29,町,https://page.line.me/honbetsu_town,2025-12-03
,足寄町,北海道,足寄町役場,2770.0,5668.0,48.87,町,https://page.line.me/ashoro-yakuba,2025-12-03
,浦幌町,北海道,浦幌町,1332.0,3838.0,34.71,町,https://page.line.me/urahoro-town,2025-12-03
,釧路町,北海道,北海道釧路町,3136.0,17799.0,17.62,町,https://page.line.me/kushirotown,2025-12-03
,標茶町,北海道,標茶町,1403.0,6543.0,21.44,町,https://page.line.me/shibecha_town,2025-12-03
,弟子屈町,北海道,北海道弟子屈町公式,3238.0,6350.0,50.99,町,https://page.line.me/teshikaga,2025-12-03
,白糠町,北海道,白糠町役場,4670.0,6600.0,70.76,町,https://page.line.me/shiranuka,2025-12-03
,別海町,北海道,別海町,21758.0,13344.0,163.05,町,https://page.line.me/betsukai,2025-12-03
,中標津町,北海道,中標津町,4465.0,21859.0,20.43,町,https://page.line.me/nakashibetsu,2025-12-03
,標津町,北海道,北海道標津町,765.0,4605.0,16.61,町,https://page.line.me/shibetsutown,2025-12-03
,羅臼町,北海道,羅臼町,1793.0,4076.0,43.99,町,https://page.line.me/rausu,2025-12-03
,青森県,青森県,青森県,6396.0,1145366.0,0.56,都道府県,https://page.line.me/aomoripref,2025-12-03
,青森市,青森県,青森市,10842.0,256304.0,4.23,市,https://page.line.me/aomori_city,2025-12-03
,弘前市,青森県,弘前市シティプロモーション,17804.0,157382.0,11.31,市,https://page.line.me/hirosakicp,2025-12-03
,八戸市,青森県,八戸市,15974.0,210178.0,7.6,市,https://page.line.me/hachinohecity,2025-12-03
,黒石市,青森県,黒石市,4173.0,29267.0,14.26,市,https://page.line.me/kuroishicity,2025-12-03
,五所川原市,青森県,五所川原市,21542.0,47185.0,45.65,市,https://page.line.me/goshogawara_city,2025-12-03
,十和田市,青森県,十和田市,9609.0,56688.0,16.95,市,https://page.line.me/towada-city,2025-12-03
,三沢市,青森県,三沢市,3408.0,36961.0,9.22,市,https://page.line.me/misawashi,2025-12-03
,むつ市,青森県,青森県むつ市,25241.0,48697.0,51.83,市,https://page.line.me/mutsu_city,2025-12-03
,つがる市,青森県,つがる市,3695.0,27744.0,13.32,市,https://page.line.me/tsugaru_city,2025-12-03
,平川市,青森県,平川市,5906.0,28780.0,20.52,市,https://page.line.me/hirakawa_city,2025-12-03
,平内町,青森県,平内町,803.0,9015.0,8.91,町,https://page.line.me/hiranai_town,2025-12-03
,外ヶ浜町,青森県,青森県外ヶ浜町,995.0,4512.0,22.05,町,https://page.line.me/sotogahama.town,2025-12-03
,鰺ヶ沢町,青森県,,1299.0,7815.0,16.62,町,https://page.line.me/ajigasawa_town,2025-12-03
,大鰐町,青森県,大鰐町,1515.0,7477.0,20.26,町,https://page.line.me/owani_town,2025-12-03
,鶴田町,青森県,鶴田町,3378.0,10794.0,31.3,町,https://page.line.me/tsuruta2021,2025-12-03
,野辺地町,青森県,青森県野辺地町,2171.0,11042.0,19.66,町,https://page.line.me/noheji_town,2025-12-03
,七戸町,青森県,七戸町,2403.0,13119.0,18.32,町,https://page.line.me/shichinohetown,2025-12-03
,横浜町,青森県,横浜町,309.0,3809.0,8.11,町,https://page.line.me/yokohamatown-line,2025-12-03
,六ヶ所村,青森県,六ヶ所村,2533.0,9831.0,25.77,村,https://page.line.me/rokkasho,2025-12-03
,おいらせ町,青森県,おいらせ町,886.0,23977.0,3.7,町,https://page.line.me/oirase-town,2025-12-03
,東通村,青森県,東通村,1920.0,5187.0,37.02,村,https://page.line.me/vill.higashi,2025-12-03
,三戸町,青森県,三戸町,1263.0,7929.0,15.93,町,https://page.line.me/town.sannohe.11,2025-12-03
,五戸町,青森県,五戸町,277.0,14319.0,1.93,町,https://page.line.me/gonohetown,2025-12-03
,田子町,青森県,青森県田子町,965.0,4269.0,22.6,町,https://page.line.me/takko229town,2025-12-03
,南部町,青森県,青森県南部町,875.0,15116.0,5.79,町,https://page.line.me/aomori-nanbu.town,2025-12-03
,新郷村,青森県,新郷村,383.0,1823.0,21.01,村,https://page.line.me/shingo450,2025-12-03
,岩手県,岩手県,岩手県,7309.0,1126813.0,0.65,都道府県,https://page.line.me/iwate.pref,2025-12-03
,盛岡市,岩手県,盛岡市,107770.0,278377.0,38.71,市,https://page.line.me/moriokacity,2025-12-03
,宮古市,岩手県,宮古市,8406.0,44253.0,19.0,市,https://page.line.me/385miyako,2025-12-03
,大船渡市,岩手県,大船渡市,9543.0,31012.0,30.77,市,https://page.line.me/ofunato_city,2025-12-03
,花巻市,岩手県,花巻市,46418.0,87512.0,53.04,市,https://page.line.me/city_hanamaki,2025-12-03
,北上市,岩手県,北上市,4774.0,91581.0,5.21,市,https://page.line.me/kitakami_city,2025-12-03
,久慈市,岩手県,久慈市,4810.0,29448.0,16.33,市,https://page.line.me/kujicity,2025-12-03
,遠野市,岩手県,遠野市,2857.0,22604.0,12.64,市,https://page.line.me/tonocity,2025-12-03
,一関市,岩手県,一関市,18885.0,101893.0,18.53,市,https://page.line.me/ichinoseki.city,2025-12-03
,陸前高田市,岩手県,陸前高田市,3063.0,16436.0,18.64,市,https://page.line.me/rikuzentakata_city,2025-12-03
,釜石市,岩手県,釜石市,9182.0,28217.0,32.54,市,https://page.line.me/kamaishi03211,2025-12-03
,二戸市,岩手県,二戸市,3388.0,22887.0,14.8,市,https://page.line.me/ninohe_city,2025-12-03
,八幡平市,岩手県,八幡平市,6026.0,21941.0,27.46,市,https://page.line.me/hachimantaicity,2025-12-03
,奥州市,岩手県,岩手県奥州市,1653.0,104425.0,1.58,市,https://page.line.me/oshucity,2025-12-03
,滝沢市,岩手県,滝沢市,8147.0,54031.0,15.08,市,https://page.line.me/takizawa-line,2025-12-03
,紫波町,岩手県,紫波町,13943.0,31443.0,44.34,町,https://page.line.me/shiwatown,2025-12-03
,矢巾町,岩手県,矢巾町,5337.0,27143.0,19.66,町,https://page.line.me/yahaba-town,2025-12-03
,西和賀町,岩手県,西和賀町,1827.0,4267.0,42.82,町,https://page.line.me/nishiwaga_town,2025-12-03
,金ケ崎町,岩手県,金ケ崎町,1439.0,15061.0,9.55,町,https://page.line.me/kanegasakitown,2025-12-03
,平泉町,岩手県,平泉町,1355.0,6449.0,21.01,町,https://page.line.me/hiraizumitown,2025-12-03
,大槌町,岩手県,大槌町役場,2623.0,9802.0,26.76,町,https://page.line.me/otsuchi,2025-12-03
,岩泉町,岩手県,岩泉町,1584.0,7468.0,21.21,町,https://page.line.me/iwaizumi_town,2025-12-03
,田野畑村,岩手県,田野畑村,309.0,2654.0,11.64,村,https://page.line.me/tanohata,2025-12-03
,軽米町,岩手県,岩手県軽米町,691.0,7274.0,9.5,町,https://page.line.me/karumai,2025-12-03
,野田村,岩手県,野田村,1754.0,3550.0,49.41,村,https://page.line.me/noda_vill,2025-12-03
,九戸村,岩手県,九戸村,699.0,4711.0,14.84,村,https://page.line.me/kunohemura,2025-12-03
,洋野町,岩手県,岩手県洋野町,2207.0,13376.0,16.5,町,https://page.line.me/iwate-hirono-town,2025-12-03
,一戸町,岩手県,一戸町,1102.0,9897.0,11.13,町,https://page.line.me/town_ichinohe,2025-12-03
,仙台市,宮城県,仙台市,93556.0,1094799.0,8.55,市,https://page.line.me/sendai-city,2025-12-03
,石巻市,宮城県,石巻市,31818.0,129532.0,24.56,市,https://page.line.me/isbousai2019,2025-12-03
,塩竈市,宮城県,塩竈市,17932.0,49846.0,35.97,市,https://page.line.me/shiogamacity,2025-12-03
,気仙沼市,宮城県,気仙沼市,19729.0,54846.0,35.97,市,https://page.line.me/kesennuma-miyagi,2025-12-03
,白石市,宮城県,宮城県白石市,4569.0,29664.0,15.4,市,https://page.line.me/shiroishicity,2025-12-03
,名取市,宮城県,名取市,3073.0,79001.0,3.89,市,https://page.line.me/natoricity,2025-12-03
,多賀城市,宮城県,多賀城市,24322.0,61934.0,39.27,市,https://page.line.me/tagajo01,2025-12-03
,岩沼市,宮城県,岩沼市,5111.0,42897.0,11.91,市,https://page.line.me/iwanuma-city,2025-12-03
,登米市,宮城県,登米市,10150.0,69287.0,14.65,市,https://page.line.me/tomecity,2025-12-03
,栗原市,宮城県,栗原市,12100.0,57983.0,20.87,市,https://page.line.me/kuriharacity,2025-12-03
,東松島市,宮城県,東松島市,3657.0,37016.0,9.88,市,https://page.line.me/higamatsu,2025-12-03
,大崎市,宮城県,大崎市,18401.0,119458.0,15.4,市,https://page.line.me/osaki-city,2025-12-03
,富谷市,宮城県,富谷市,14413.0,51548.0,27.96,市,https://page.line.me/tomiya-city,2025-12-03
,七ヶ宿町,宮城県,七ヶ宿町,1800.0,1110.0,162.16,町,https://page.line.me/7kashu9,2025-12-03
,大河原町,宮城県,宮城県大河原町,2978.0,23166.0,12.86,町,https://page.line.me/oogawara-town,2025-12-03
,村田町,宮城県,宮城県村田町,2758.0,9720.0,28.37,町,https://page.line.me/murata-town,2025-12-03
,柴田町,宮城県,宮城県柴田町,5500.0,36739.0,14.97,町,https://page.line.me/town-shibata,2025-12-03
,川崎町,宮城県,宮城県川崎町,871.0,7526.0,11.57,町,https://page.line.me/miyagi_kawasaki,2025-12-03
,丸森町,宮城県,宮城県丸森町,1699.0,10622.0,16.0,町,https://page.line.me/marumori.town,2025-12-03
,亘理町,宮城県,宮城県亘理町,9039.0,32172.0,28.1,町,https://page.line.me/watari_town,2025-12-03
,山元町,宮城県,宮城県山元町,1762.0,11265.0,15.64,町,https://page.line.me/yamamoto_town,2025-12-03
,松島町,宮城県,松島町,2042.0,12335.0,16.55,町,https://page.line.me/matsushima_line,2025-12-03
,七ヶ浜町,宮城県,七ヶ浜町,1590.0,16959.0,9.38,町,https://page.line.me/shichigahama,2025-12-03
,利府町,宮城県,宮城県利府町,6762.0,35028.0,19.3,町,https://page.line.me/line.rifu-cho,2025-12-03
,大和町,宮城県,宮城県大和町,1927.0,28414.0,6.78,町,https://page.line.me/taiwa,2025-12-03
,大郷町,宮城県,大郷町,1740.0,7249.0,24.0,町,https://page.line.me/osatotown,2025-12-03
,大衡村,宮城県,大衡村,1149.0,5465.0,21.02,村,https://page.line.me/ohira,2025-12-03
,色麻町,宮城県,色麻町,287.0,6032.0,4.76,町,https://page.line.me/shikama_town,2025-12-03
,涌谷町,宮城県,宮城県涌谷町,431.0,13800.0,3.12,町,https://page.line.me/wakuya2111,2025-12-03
,美里町,宮城県,美里町,4125.0,22373.0,18.44,町,https://page.line.me/misato_miyagi,2025-12-03
,女川町,宮城県,女川町,617.0,5917.0,10.43,町,https://page.line.me/onagawa_town,2025-12-03
,秋田県,秋田県,秋田県庁,27099.0,878909.0,3.08,都道府県,https://page.line.me/akitapref,2025-12-03
,秋田市,秋田県,秋田市,25294.0,292587.0,8.64,市,https://page.line.me/akita_city,2025-12-03
,能代市,秋田県,能代市,3269.0,44832.0,7.29,市,https://page.line.me/noshiro_city,2025-12-03
,横手市,秋田県,横手市,9077.0,77132.0,11.77,市,https://page.line.me/yokotecity,2025-12-03
,大館市,秋田県,大館市,9138.0,62954.0,14.52,市,https://page.line.me/odate.city,2025-12-03
,男鹿市,秋田県,秋田県男鹿市,5100.0,21611.0,23.6,市,https://page.line.me/oga_city,2025-12-03
,湯沢市,秋田県,湯沢市,10112.0,37305.0,27.11,市,https://page.line.me/yuzawacity,2025-12-03
,鹿角市,秋田県,鹿角市,2049.0,25610.0,8.0,市,https://page.line.me/kazuno_city,2025-12-03
,由利本荘市,秋田県,由利本荘市,13115.0,68773.0,19.07,市,https://page.line.me/yurihonjo-city,2025-12-03
,潟上市,秋田県,潟上市（Katagami City）,4438.0,30354.0,14.62,市,https://page.line.me/katagamicity,2025-12-03
,大仙市,秋田県,大仙市,17884.0,70778.0,25.27,市,https://page.line.me/daisencity,2025-12-03
,北秋田市,秋田県,北秋田市,3181.0,26493.0,12.01,市,https://page.line.me/kitaakita,2025-12-03
,にかほ市,秋田県,にかほ市,4577.0,21311.0,21.48,市,https://page.line.me/nikaho-city,2025-12-03
,仙北市,秋田県,仙北市,11545.0,21614.0,53.41,市,https://page.line.me/city.semboku,2025-12-03
,小坂町,秋田県,小坂町,244.0,4197.0,5.81,町,https://page.line.me/kosaka,2025-12-03
,三種町,秋田県,秋田県三種町,89.0,13157.0,0.68,町,https://page.line.me/mitanetown,2025-12-03
,八峰町,秋田県,秋田県八峰町,1505.0,5636.0,26.7,町,https://page.line.me/007wnacd,2025-12-03
,八郎潟町,秋田県,八郎潟町,765.0,5010.0,15.27,町,https://page.line.me/hachirogata,2025-12-03
,大潟村,秋田県,大潟村,974.0,2792.0,34.89,村,https://page.line.me/ogatamura,2025-12-03
,美郷町,秋田県,秋田県_美郷町,4358.0,16669.0,26.14,町,https://page.line.me/misatotown,2025-12-03
,羽後町,秋田県,羽後町,2461.0,12191.0,20.19,町,https://page.line.me/ugo_town,2025-12-03
,東成瀬村,秋田県,東成瀬村,1674.0,2403.0,69.66,村,https://page.line.me/higashinaruse,2025-12-03
,山形県,山形県,山形県,10337.0,994537.0,1.04,都道府県,https://page.line.me/yamagataken,2025-12-03
,山形市,山形県,山形市,101019.0,237800.0,42.48,市,https://page.line.me/yamagatacity,2025-12-03
,米沢市,山形県,米沢市,30903.0,75689.0,40.83,市,https://page.line.me/yonezawacity,2025-12-03
,鶴岡市,山形県,鶴岡市,46292.0,113110.0,40.93,市,https://page.line.me/tsuruokashi,2025-12-03
,酒田市,山形県,酒田市,44857.0,92362.0,48.57,市,https://page.line.me/sakata_city,2025-12-03
,新庄市,山形県,新庄市,6281.0,31450.0,19.97,市,https://page.line.me/shinjo_city,2025-12-03
,寒河江市,山形県,寒河江市,2422.0,38281.0,6.33,市,https://page.line.me/sagaecity,2025-12-03
,上山市,山形県,上山市,7203.0,26568.0,27.11,市,https://page.line.me/kaminoyama_city,2025-12-03
,村山市,山形県,村山市,5142.0,20164.0,25.5,市,https://page.line.me/murayama-city,2025-12-03
,長井市,山形県,長井市,5766.0,24356.0,23.67,市,https://page.line.me/city_nagai,2025-12-03
,天童市,山形県,天童市,33205.0,59917.0,55.42,市,https://page.line.me/tendo_city,2025-12-03
